country,Indicator,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hong Kong,Markup,,,1.2564809,1.1176788,1.05423,1.139734,1.0874659,1.1547766,1.172392,1.2327818,1.1691194,1.1578937,1.1549418,1.168736,1.2387877,1.2835552,1.2186167,1.2021424,1.202574,1.3303272,1.6259208,2.012202,2.1215222,2.1675129,1.9374028,1.6475927,1.6540691,1.4993982,1.5787102,1.608367,1.521217,1.3149352,1.2628242,1.7507005,1.7606699,1.7362204,1.6469181
India,Markup,,,,,,,,,,1.0656768,1.0528214,1.0890603,1.0975661,1.144671,1.0826523,1.1584526,1.1242737,1.1192859,1.1496757,1.1063708,1.1131799,1.1245664,1.1414797,1.1668742,1.1400061,1.1256942,1.0877248,1.1092553,1.1003315,1.0551842,1.0681733,1.0826223,1.0619574,1.0803375,1.2196255,1.1561246,1.3219916
Indonesia,Markup,,,,,,,,,,1.3405856,1.3424562,1.264673,1.2666113,1.255125,1.2844068,1.3814394,1.5517044,1.6957266,1.690948,1.4827124,1.6417325,1.3840208,1.5344833,1.6387486,1.664916,1.6329075,1.5058966,1.6025001,1.3899401,1.447639,1.4241699,1.6401756,1.5315813,1.3944626,1.3964268,1.4300131,1.5027006
Ireland,Markup,1.1574855,1.1442369,1.1057869,1.1048845,1.2097385,1.1897864,1.1678767,1.2064147,1.2251533,1.2097592,1.2046771,1.2460968,1.247888,1.2457244,1.266589,1.2866846,1.2991104,1.3186303,1.4409878,1.53212,1.6359042,1.3790914,1.4143,1.4496633,1.4412376,1.4444505,1.4069171,1.4332569,1.4689839,1.5257013,1.5075052,1.4297675,1.4581808,1.5043571,1.548062,1.676193,1.8183707
Italy,Markup,0.99150419,1.1322395,1.0553243,1.0943918,1.0905468,1.1563547,1.1334621,1.2287085,1.1864549,1.1895198,1.1660252,1.2326437,1.3257055,1.6041185,1.6448414,1.7276672,1.8520799,1.7747345,1.9100703,2.3503163,2.3452566,2.4811904,2.5494246,2.3101082,2.2358954,2.1838923,2.1392486,2.1615117,2.0644147,2.1227028,2.0347517,1.9278475,1.841934,2.2827079,2.1804826,2.4597769,2.4554088
Japan,Markup,1.0264043,1.0197885,1.0221535,1.039517,1.0393384,1.0672933,1.0631117,1.0720593,1.0870751,1.1257733,1.0981127,1.1173847,1.1249715,1.1250463,1.145758,1.1504644,1.1862165,1.1999807,1.2232234,1.2355202,1.2606733,1.2282722,1.2306781,1.2706138,1.3036569,1.2803971,1.270919,1.2627498,1.2512075,1.2398392,1.2721323,1.2735223,1.2539135,1.2528006,1.2634704,1.3102242,1.3260169
Malaysia,Markup,1.3006675,1.1441903,1.0663399,1.0441099,1.0727179,1.0322601,1.03142,0.97355676,1.2779945,1.2548956,1.1263273,1.0981846,1.1405369,1.1612369,1.1698443,1.1259438,1.0881221,1.0984875,1.1227778,1.1661044,1.2921612,1.3033907,1.2818105,1.4814556,1.4296688,1.4357166,1.4744684,1.4257931,1.3985919,1.3376606,1.3824553,1.3857282,1.3466953,1.3355525,1.3822899,1.3866072,1.3339521
Mexico,Markup,1.3788142,1.4147598,1.3490771,1.4110932,1.5273771,1.4899496,1.4184483,1.3945615,1.3903652,1.3632233,1.4048746,1.3882099,1.4054772,1.4031477,1.5156405,1.7382859,1.6635284,1.6112608,1.6894053,1.8099082,1.690226,1.6939211,1.7255783,1.6554307,1.7348027,1.8344386,1.8685629,1.8163618,1.6086349,1.5814916,1.5122182,1.4856833,1.5765996,1.7556739,1.7205999,1.6849356,1.5529778
Netherlands,Markup,1.0538882,1.0466957,1.1210423,1.1587844,1.1479634,1.1565567,1.1889458,1.2081831,1.2257737,1.2422711,1.2461523,1.2373149,1.2525153,1.1381848,1.225337,1.2409251,1.2262403,1.2326992,1.2618661,1.2838508,1.2593789,1.277532,1.2441268,1.2533302,1.2399327,1.2742505,1.2577244,1.2554578,1.1849635,1.2336898,1.2238222,1.1947758,1.2152199,1.2601099,1.4050494,1.4834204,1.5233282
New Zealand,Markup,0.97937769,0.99516344,1.007211,1.0437546,0.9928965,1.0112251,1.00258,0.99988186,0.9333396,0.96122664,1.0098294,1.2820984,1.5264971,1.6110364,1.1754553,1.2174577,1.1813265,1.2338316,1.2637658,1.1804289,1.3050022,1.259742,1.3032101,1.4636034,1.3699741,1.50089,1.5193253,1.6015085,1.2556101,1.2458886,1.2814199,1.2663293,1.2171211,1.2722933,1.2728803,1.3010801,1.3469278
Norway,Markup,0.86317563,1.0297178,1.0072949,1.0464038,0.99961483,1.0484014,0.94509888,1.4671965,1.2810491,1.5248735,1.5759118,1.4355201,1.3495204,1.35438,1.3826267,1.3433183,1.3803509,1.3592569,1.3275329,1.2493203,1.3326876,1.2928996,1.270769,1.2782294,1.3016152,1.4145004,1.4774165,1.5283077,1.4766897,1.5166614,1.4608126,1.4847338,1.5458999,1.6984007,1.680105,1.6812181,1.6002796
Pakistan,Markup,,,,,,,,,1.1724817,1.0404189,1.0641793,0.99000311,1.0672437,1.0747987,1.1010513,1.085263,1.1345748,1.2254694,1.2600111,1.4107022,1.1709727,1.1787324,1.2102691,1.3014154,1.3506871,1.294162,1.2117082,1.1674528,1.2355542,1.1166767,1.2053101,1.1177158,1.105986,1.1268157,1.1377219,1.1458682,1.1698604
Peru,Markup,,,,,,,,1.6754979,1.6537036,2.2011228,1.8267924,1.3960053,1.4345113,1.4298728,1.6385216,1.9777076,1.4544811,2.8858533,3.8998232,1.9635903,3.0915534,2.2407715,2.3341146,2.2079842,1.8731782,1.7340956,1.9390256,1.8385619,1.5692772,1.6256838,1.8315573,1.6560098,1.5301898,1.69069,1.6007025,1.5713332,1.6424026
