Country,Year,Markup
BELGIUM,1987,0.92827541
BELGIUM,1988,0.99661666
BELGIUM,1989,1.0170429
BELGIUM,1990,1.012071
BELGIUM,1991,0.99583638
BELGIUM,1992,0.98306274
BELGIUM,1993,0.98384559
BELGIUM,1994,0.97641301
BELGIUM,1995,0.99221051
BELGIUM,1996,0.98158169
BELGIUM,1997,1.0237346
BELGIUM,1998,1.0389873
BELGIUM,1999,1.0416247
BELGIUM,2000,1.0574852
BELGIUM,2001,1.0475318
BELGIUM,2002,1.1699195
BELGIUM,2003,1.203633
BELGIUM,2004,1.2113559
BELGIUM,2005,1.4351864
BELGIUM,2006,1.4798133
BELGIUM,2007,1.5152345
BELGIUM,2008,1.5170146
BELGIUM,2009,1.5577695
BELGIUM,2010,1.5786918
BELGIUM,2011,1.6228696
BELGIUM,2012,1.6441213
BELGIUM,2013,1.781136
BELGIUM,2014,1.8569444
BELGIUM,2015,1.8468202
BELGIUM,2016,2.057785
BERMUDA,1982,1.6989611
BERMUDA,1983,1.7350129
BERMUDA,1984,1.8133461
BERMUDA,1985,1.7949418
BERMUDA,1986,1.6680714
BERMUDA,1987,1.418807
BERMUDA,1988,1.3200573
BERMUDA,1989,1.2621212
BERMUDA,1990,1.2026929
BERMUDA,1991,1.1061183
BERMUDA,1992,1.0747119
BERMUDA,1993,1.017814
BERMUDA,1994,0.89281225
BERMUDA,1995,0.87006104
BERMUDA,1996,0.89618957
BERMUDA,1997,0.9196763
BERMUDA,1998,0.98512429
BERMUDA,1999,1.1433553
BERMUDA,2000,1.4087228
BERMUDA,2001,1.3657345
BERMUDA,2002,1.2831328
BERMUDA,2003,1.3329135
BERMUDA,2004,2.0799232
BERMUDA,2005,2.038558
BERMUDA,2006,1.8264788
BERMUDA,2007,1.7282549
BERMUDA,2008,1.7413952
BERMUDA,2009,1.7762715
BERMUDA,2010,1.8084849
BERMUDA,2011,1.868922
BERMUDA,2012,1.7420218
BERMUDA,2013,1.7521515
BERMUDA,2014,2.0132711
BERMUDA,2015,1.9102885
BERMUDA,2016,1.95161
BOLIVIA,2005,3.1112788
BOLIVIA,2006,2.0268025
BOLIVIA,2007,1.1888634
BOLIVIA,2008,2.8083599
BOLIVIA,2009,1.886759
BOLIVIA,2010,1.5282242
BOLIVIA,2011,1.2899954
BOLIVIA,2012,1.4823037
BOLIVIA,2013,5.9370451
BOLIVIA,2014,4.9188766
BOLIVIA,2015,3.596246
BOLIVIA,2016,2.1677191
BOSNIA_&_HERZEGOVINA,2005,1.9717189
BOSNIA_&_HERZEGOVINA,2006,1.9396944
BOSNIA_&_HERZEGOVINA,2007,1.7371148
BOSNIA_&_HERZEGOVINA,2008,1.769256
BOSNIA_&_HERZEGOVINA,2009,1.7619041
BOSNIA_&_HERZEGOVINA,2010,1.8401258
BOSNIA_&_HERZEGOVINA,2011,1.6387466
BOSNIA_&_HERZEGOVINA,2012,1.6603953
BOSNIA_&_HERZEGOVINA,2013,3.1216795
BOSNIA_&_HERZEGOVINA,2014,3.2075756
BOSNIA_&_HERZEGOVINA,2015,3.6152387
BOSNIA_&_HERZEGOVINA,2016,2.5153642
BOTSWANA,2005,1.2971699
BOTSWANA,2006,1.273068
BOTSWANA,2007,1.1815177
BOTSWANA,2008,1.2649858
BOTSWANA,2009,1.1728244
BOTSWANA,2010,1.2465022
BOTSWANA,2011,1.3721762
BOTSWANA,2012,1.2580723
BOTSWANA,2013,1.399366
BOTSWANA,2014,1.4054447
BOTSWANA,2015,1.4003161
BOTSWANA,2016,1.2473309
BRAZIL,1987,1.6223694
BRAZIL,1988,1.7868639
BRAZIL,1989,1.7218683
BRAZIL,1990,1.7599186
BRAZIL,1991,1.6332316
BRAZIL,1992,1.3097531
BRAZIL,1993,1.5857736
BRAZIL,1994,1.4230528
BRAZIL,1995,1.5181671
BRAZIL,1996,1.565666
BRAZIL,1997,1.7934035
BRAZIL,1998,1.4844685
BRAZIL,1999,1.5161567
BRAZIL,2000,1.8187834
BRAZIL,2001,1.6066763
BRAZIL,2002,1.5689341
BRAZIL,2003,1.5290197
BRAZIL,2004,1.7092129
BRAZIL,2005,1.5544095
BRAZIL,2006,1.6250948
BRAZIL,2007,1.5769132
BRAZIL,2008,1.6665196
BRAZIL,2009,1.607919
BRAZIL,2010,1.7186756
BRAZIL,2011,1.6558121
BRAZIL,2012,1.5293611
BRAZIL,2013,1.5625182
BRAZIL,2014,1.3455718
BRAZIL,2015,1.370611
BRAZIL,2016,1.6119453
BRITISH_VIRGIN_ISLANDS,2001,1.334887
BRITISH_VIRGIN_ISLANDS,2002,1.3161938
BRITISH_VIRGIN_ISLANDS,2003,1.309652
BRITISH_VIRGIN_ISLANDS,2004,1.0730191
BRITISH_VIRGIN_ISLANDS,2005,1.267424
BRITISH_VIRGIN_ISLANDS,2006,1.2576336
BRITISH_VIRGIN_ISLANDS,2007,1.2358907
BRITISH_VIRGIN_ISLANDS,2008,0.95286369
BRITISH_VIRGIN_ISLANDS,2009,0.95090479
BRITISH_VIRGIN_ISLANDS,2010,0.96546721
BRITISH_VIRGIN_ISLANDS,2011,0.96967262
BRITISH_VIRGIN_ISLANDS,2012,0.97641647
BRITISH_VIRGIN_ISLANDS,2013,2.3248608
BRITISH_VIRGIN_ISLANDS,2014,2.0130656
BRITISH_VIRGIN_ISLANDS,2015,1.6299334
BRITISH_VIRGIN_ISLANDS,2016,1.4511747
BULGARIA,2002,0.84764653
BULGARIA,2003,0.77749807
BULGARIA,2004,0.98452419
BULGARIA,2005,1.3392578
BULGARIA,2006,1.3822011
BULGARIA,2007,1.675167
BULGARIA,2008,1.5526116
BULGARIA,2009,1.8927833
BULGARIA,2010,1.8157781
BULGARIA,2011,1.6860505
BULGARIA,2012,1.898694
BULGARIA,2013,2.9244568
BULGARIA,2014,2.7531881
BULGARIA,2015,2.9206636
BULGARIA,2016,3.4551859
CAMBODIA,2005,2.1636028
CAMBODIA,2006,2.0414314
CAMBODIA,2007,1.7251146
CAMBODIA,2008,1.5130581
CAMBODIA,2009,2.5163572
CAMBODIA,2010,3.7925551
CAMBODIA,2011,3.6526952
CAMBODIA,2012,3.611377
CAMBODIA,2013,3.7177124
CAMBODIA,2014,3.0144846
CAMBODIA,2015,2.6008365
CAMBODIA,2016,2.3787978
CAMEROON,2013,1.2249117
CAMEROON,2014,1.2509919
CAMEROON,2015,1.2041492
CANADA,1980,0.92710769
CANADA,1981,0.90543938
CANADA,1982,0.88940102
CANADA,1983,0.89459825
CANADA,1984,0.93716377
CANADA,1985,0.91304708
CANADA,1986,0.95263904
CANADA,1987,1.0704082
CANADA,1988,1.1554638
CANADA,1989,1.2430401
CANADA,1990,1.1714702
CANADA,1991,1.2033435
CANADA,1992,1.2057576
CANADA,1993,1.2335747
CANADA,1994,1.2529793
CANADA,1995,1.265696
CANADA,1996,1.2804999
CANADA,1997,1.2875221
CANADA,1998,1.2450838
CANADA,1999,1.3542575
CANADA,2000,1.3448647
CANADA,2001,1.2487726
CANADA,2002,1.3900764
CANADA,2003,1.5486639
CANADA,2004,1.4598231
CANADA,2005,1.464556
CANADA,2006,1.5027272
CANADA,2007,1.5670131
CANADA,2008,1.5573646
CANADA,2009,1.4962766
CANADA,2010,1.4884579
CANADA,2011,1.4574475
CANADA,2012,1.4790775
CANADA,2013,1.4909643
CANADA,2014,1.5439667
CANADA,2015,1.5295123
CANADA,2016,1.5325372
CAYMAN_ISLANDS,1981,2.162107
CAYMAN_ISLANDS,1982,1.8521477
CAYMAN_ISLANDS,1983,1.9851263
CAYMAN_ISLANDS,1986,3.2970643
CAYMAN_ISLANDS,1987,2.1470437
CAYMAN_ISLANDS,1988,1.4777342
CAYMAN_ISLANDS,1989,1.1860354
CAYMAN_ISLANDS,1990,1.1824011
CAYMAN_ISLANDS,1991,1.1187713
CAYMAN_ISLANDS,1992,0.95601934
CAYMAN_ISLANDS,1993,1.6495378
CAYMAN_ISLANDS,1994,1.0121881
CAYMAN_ISLANDS,1996,2.6704288
CAYMAN_ISLANDS,1997,2.2659295
CAYMAN_ISLANDS,1998,1.803211
CAYMAN_ISLANDS,1999,3.0563757
CAYMAN_ISLANDS,2000,2.8508391
CAYMAN_ISLANDS,2001,1.4916106
CAYMAN_ISLANDS,2002,1.636029
CAYMAN_ISLANDS,2003,1.8236632
CAYMAN_ISLANDS,2004,1.6926899
CAYMAN_ISLANDS,2005,1.7184774
CAYMAN_ISLANDS,2006,1.6976371
CAYMAN_ISLANDS,2007,1.6501089
CAYMAN_ISLANDS,2008,1.7700391
CAYMAN_ISLANDS,2009,1.7304184
CAYMAN_ISLANDS,2010,2.7080946
CAYMAN_ISLANDS,2011,2.7380991
CAYMAN_ISLANDS,2012,2.6508205
CAYMAN_ISLANDS,2013,2.924516
CAYMAN_ISLANDS,2014,2.9449122
CAYMAN_ISLANDS,2015,3.1834328
CAYMAN_ISLANDS,2016,3.4073355
CHANNEL_ISLANDS,1991,1.3576031
CHANNEL_ISLANDS,1992,1.1553022
CHANNEL_ISLANDS,1993,1.250446
CHANNEL_ISLANDS,1994,1.7341462
CHANNEL_ISLANDS,1995,1.9118692
CHANNEL_ISLANDS,1996,1.2670914
CHANNEL_ISLANDS,1997,1.2584342
CHANNEL_ISLANDS,1998,4.2663622
CHANNEL_ISLANDS,1999,1.3327842
CHANNEL_ISLANDS,2000,2.5624244
CHANNEL_ISLANDS,2001,1.5275751
CHANNEL_ISLANDS,2002,1.8078746
CHANNEL_ISLANDS,2003,2.4845691
CHANNEL_ISLANDS,2004,2.7135637
CHANNEL_ISLANDS,2005,3.5512328
