country,Indicator,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
world,Markup,1.071589,1.069448,1.087124,1.101178,,1.108469,1.13571,1.185493,1.204863,1.240596,1.231234,1.249372,1.252159,1.259378,1.269389,1.276214,1.309086,1.353626,1.393895,1.429931,1.456524,1.410192,1.452185,1.454002,1.445652,1.453111,1.453055,1.442514,1.400375,1.408844,1.424495,1.383233,1.377631,1.478733,1.495516,1.561496,1.592423
Africa,,,,,,,,,1.123613,1.08117,1.0826,1.069925,1.051649,1.015828,1.012543,1.011547,1.023731,1.015173,1.037265,1.025435,1.037675,1.16391,1.233132,1.282368,1.543508,1.673791,1.634638,1.531629,1.417263,1.361294,1.342696,1.394979,1.416464,1.335824,1.366681,1.404287,1.32707,1.384433
Asia,,1.022503,1.016023,1.018337,1.036065,1.036321,1.066959,1.062727,1.070346,1.086735,1.127597,1.09863,1.115596,1.124436,1.124796,1.146788,1.158253,1.184674,1.208925,1.224467,1.24983,1.319631,1.299705,1.333419,1.346582,1.374921,1.343466,1.359385,1.328258,1.298838,1.278002,1.296934,1.263332,1.248599,1.392588,1.37673,1.428556,1.454021
Europe,,0.9762166,0.9831999,1.018367,1.034959,1.037271,1.037286,1.050949,1.143235,1.152313,1.201791,1.204333,1.210595,1.217791,1.245383,1.26792,1.266776,1.308988,1.304792,1.350082,1.401302,1.385791,1.376384,1.40308,1.398121,1.388006,1.416237,1.429832,1.4311,1.380464,1.417902,1.421846,1.368077,1.381042,1.45439,1.493249,1.605804,1.635053
North America,,1.130385,1.125884,1.147882,1.16131,1.168838,1.170906,1.247564,1.306045,1.355626,1.366387,1.369999,1.434803,1.434596,1.425167,1.419099,1.445105,1.448887,1.541868,1.593044,1.617054,1.639712,1.524183,1.616127,1.622687,1.57825,1.568229,1.562982,1.572684,1.530319,1.559551,1.567443,1.535159,1.548911,1.640759,1.68608,1.730551,1.756222
Oceania,,0.9923818,0.9264984,0.962378,0.9675553,0.9143223,0.9366882,0.8916771,1.044342,0.9645392,0.9941369,0.9883028,1.013317,1.040765,1.055067,1.004509,1.054109,1.049812,1.040726,1.079569,1.093587,1.175484,1.383431,1.335588,1.347971,1.334074,1.438818,1.469992,1.484299,1.439872,1.363248,1.519097,1.550004,1.494734,1.422042,1.570452,1.524301,1.551229
South America,,,,,,,,,1.584497,1.690581,1.709062,1.529328,1.538276,1.344159,1.528491,1.423925,1.501969,1.550662,1.725674,1.577971,1.556104,1.804,1.684451,1.625322,1.609163,1.72205,1.57461,1.612218,1.566756,1.590381,1.564162,1.657431,1.598595,1.493747,1.539503,1.396049,1.422259,1.590395
